Date,workout,time
31-01-2025,walk,1:00:00
01-02-2025,walk,1:00:00
02-02-2025,walk,1:00:00
03-02-2025,Work,0
04-02-2025,Slept,0
05-02-2025,Holiday,0
06-02-2025,Gym,0:55:00
06-02-2025,Walk,0:45:00
07-02-2025,Gym,0:50:00
07-02-2025,Walk,0:20:00
08-02-2025,Work,0
09-02-2025,Walk,0:45:00
10-02-2025,Work,0
11-02-2025,Gym,0:45:00
11-02-2025,Walk,0:20:00
12-02-2025,Walk,1:15:00
13-02-2025,Holiday,0
14-02-2025,Walk,0:45:00
15-02-2025,Walk,1:00:00
16-02-2025,Walk,1:00:00
17-02-2025,Work,0
18-02-2025,Walk,0:50:00